id,steps,average heartrate,average stress
101,5354.94,72.61,25.95
102,7463.07,92.86,40.84
105,8071.76,77.67,39.57
107,6215.39,77.91,33.63
108,6089.71,80.60,24.83
109,6328.43,83.48,36.14
110,4683.88,76.50,31.38
111,8134.44,72.43,34.54
112,7461.62,94.38,43.49
113,4938.59,74.22,38.53
115,7457.34,85.11,29.42
116,6863.29,74.92,26.80
117,3851.29,76.27,21.85
118,4253.51,76.41,35.05
119,15606.21,72.33,30.11
121,5473.67,78.44,33.49
122,8708.04,81.35,33.46
123,8328.65,60.53,21.05
124,10946.82,67.30,25.55
125,4226.65,79.98,29.83
126,4643.27,84.79,34.23
127,5509.61,81.78,33.55
129,10827.22,85.71,33.78
130,4751.60,85.08,30.96
131,6217.37,81.23,28.98
