id,duration
101,8.914444444444445
102,13.03
105,8.881475409836066
107,10.33
108,8.146129032258065
109,7.26
110,8.822380952380954
111,9.191612903225806
112,7.947826086956522
113,7.990178571428571
115,7.488548387096775
116,9.08984126984127
117,7.846304347826087
118,8.202758620689655
119,7.348852459016393
121,8.408032786885245
122,7.8406666666666665
123,8.648852459016394
124,7.908421052631579
125,7.968524590163934
126,9.02531914893617
127,8.141621621621622
129,7.551136363636363
130,9.583243243243242
131,9.48
201,9.8475
202,8.210806451612903
203,7.685348837209303
204,8.65857142857143
205,8.515416666666667
206,7.240535714285714
207,7.149787234042553
208,8.617659574468085
209,8.136875
210,6.892222222222222
211,7.671153846153847
213,9.019473684210526
214,7.530344827586207
215,7.035789473684211
216,7.5007142857142854
217,6.66078431372549
218,9.173684210526316
219,8.046607142857143
220,7.844193548387096
221,7.904098360655738
222,7.751052631578948
223,9.041639344262295
224,7.955
225,7.582708333333334
227,8.4055
228,7.27265306122449
229,7.712702702702702
